KEY,zh-CN
look^doyouwantmetotalk^ordoyouwantmetofixthedamnedship?youdoyourjob^andilldomine!,你看 你是要我讲话呢 还是要我修好这条该死的船? 你干你的活 我干我的!
long-rangemissilelauncher,长程导弹发射器
longrange,长程
longmemories,久远的回忆
long,长
lolivenoideawhatthisis,Lol 我完全不知道这是什么
login,登录
locomotiondestroyed,机车被摧毁
lock-on,锁定
localgovernment,当地政府
local,当地
loadsave,读取存档
llaser+++,大型激光 + + +
llaser++,大型激光 + +
llaser+,大型激光 +
llaser,大型激光
livefire,实弹
liusmemory,刘的记忆
listrendertime:{1}ms,渲染时间表: {1}ms
listenup*wereincontactwithfriendlyforces*theyareholedupinthetargetstructure*,听着. 我们已经与友方部队联系上了. 他们正在目标建筑内避难. 
liquidateasmuchaspossible*,尽可能多肃清敌人.
line,\行 
lindsay,林赛
likeiwassayingicantproveanything*butmyguttellsmesomethingsoff^andawarriortruststheirinstincts*,就像我说的\u2026我无法证明任何东西. 但我的直觉告诉我有什么东西落下了 而战士相信他们的本能.
lightsupport,轻型支援
lightstriker,轻型攻击手
lightrecon,轻型侦察
lightingquality,光照质量
lightindarkness,黑暗中的光
lightfire,轻型火力
lightbattle,轻型战斗
lightassault,轻型袭击
light,轻型
library,图书馆
liaolance,廖氏小队
liaoconvoy,廖氏车队
leyda,莱达
letthepastgo*,放下往事.
letthemventprivately*,让他们私下发泄.
letsputastoptotheirraid^commander*,让我们叫停他们的袭击 指挥官.
letsmoveuptoagoodobservationpointandreconthefacilityanditsdefenders*,让我们前进到一个良好的观察点 侦察这座设施和它的守卫.
letsmoveupandreconthefacility*,让我们行动起来侦察这座设施.
letsmoveupandmakecontact*oncewestartshooting^theconvoywillprobablymakeabreakforit*interceptthem*,让我们行动起来进行接触. 一旦我们开始射击 车队就可能会突围. 截住它们.
letsmoveupandmakecontact*oliveiraout*,让我们行动起来接触一下. 奥利维拉完毕.
letsmoveupandgetthemunderwaytotheirextractpoint*,让我们行动起来 在他们前往撤离点的路上逮住他们.
letsmoveupandgeteyesonthetargets*whencontactismade^wehitthemhardbeforetheyreachtheirdestination*,让我们行动起来去发现目标. 发生接触的话 我们就在他们到达目的地之前狠狠打击他们.
aprimarytargetistakingdamage*,一个首要目标正蒙受伤害.
aprimarytargetisdamaged^commander!keepitup!,一个首要目标已经受损 指挥官! 请保持!
approachthebaseanddestroythedesignatedbuildings*,接近基地 摧毁指定建筑.
applaud{tgt_mw*callsign}sgenerosityandwelcomethetreat*,为{TGT_MW.Callsign}的慷慨欢呼 欢迎他的款待.
apcdown^commander*,装甲运兵车完了 指挥官.
mediumassault,中型袭击
medium,中等
medicsalaries,医疗人员薪水
medicalpoints,医疗点数
medbayskillloss^tgtmwinjured,损失医务室技术 TGT MW受伤
medbayskillloss^moraleloss,医疗技术降低 士气受损
medbayskillloss^mechbayskillloss,医疗技术降低 机甲库技术降低
medbayskillloss,医疗技术降低
medbaybonus,医务室奖励
medbay3,3号医务室
medbay2,2号医务室
medbay1,1号医务室
medbay,医务室
mechwarriortrainingrequired,机甲战士需要训练
mechwarriorsgetinjured,机甲战士受伤
mechwarriorsgain{res_value*tostring}[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experienceeachday,机甲战士每天获得{RES_VALUE.ToString}点[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent]经验]]
mechwarriorsalaries,机甲战士薪水
mechwarriorletsitgo,机甲战士放弃了
mechwarriorhealth,机甲战士生命值
mechwarriorgetsinjured,机甲战士受伤
mechwarriorfightsbutwins,机甲战士斗殴但获胜
mechwarriorfightsbutgetshurt,机甲战士斗殴但受伤
mechwarriorfightsandgetshurt,机甲战士斗殴并受伤
mechwarriorfightsanddies,机甲战士斗殴并死亡
mechwarriorexperience,机甲战士经验
mechwarriordoesntletitgo,机甲战士不打算放弃
mechwarriorcasualty,机甲战士伤亡
mechwarriorcaptain,机甲战士队长
mechwarrior,机甲战士
mechwarehouse,机甲仓库
mechtonnageminimum,机甲最小吨位
mechtonnagemaximum,机甲最大吨位
mechs&storage,机甲与库存
mechs,机甲
mechpurchased,已购买机甲
mechpartsandmechscannotbepurchasedwhileinthemechlab,在机甲实验室里无法采购机甲部件和机甲
mechpart,机甲部件
mechnotreadyforbattle,机甲未做好战斗准备
mechlocationdestroyed,机甲部位被摧毁
mechlab-repairmech-{0},机甲实验室 - 维修机甲 - {0}
mechlab-modifyarmor-{0},机甲实验室 - 调整装甲 - {0}
mechlab-{0}-{1},机甲实验室- {0} - {1}
mechinmaintenance,正在维护的机甲
mechhastoomuchequipmentmountedinthe{0},机甲在{0}安装了过多的装备
mechhastoomanysmallweaponsmountedinthe{0},机甲在{0}安装了过多的小型武器
mechhastoomanymissileweaponsmountedinthe{0},机甲在{0}安装了过多的导弹武器
mechhastoomanyenergyweaponsmountedinthe{0},机甲在{0}安装了过多的能量武器
mechhastoomanyballisticweaponsmountedinthe{0},机甲在{0}安装了过多的弹道武器
mechhasacomponentinstalledinaninvalidlocation:,机甲有个部件安装在了无效的位置: 
mechdur,梅卡杜
mechdestruction,机甲损毁
mechdestroyed,机甲被摧毁
mechdamaged:thismechs{0}hasinternalstructuredamage,机甲受损: 这部机甲的{0}存在内部结构损伤
mechcommander,机甲指挥官
minrange,最小射程
militaryforcehasbeenauthorizedagainstyourfacility*withdrawimmediatelyorbedestroyed*,军队已经得到授权攻击你的设施. 即刻撤退不然你就会被消灭.
military,军人
mg,机枪
merdal,默达尔
mercenarycommander:ejectyourpeopleandleavethemechsandyoullbeallowedtolive*,雇佣军指挥官: 让你的人弹射 留下机甲 这样我就饶你们一命.
mercenary,雇佣军
mendham,门德姆
memorycore,记忆核
memorialwall,纪念墙
membership,会员
meleethetarget,用肉搏攻击目标
meleeattackusingpilotingskilltohit*ignoresevasive*hitremovesguarded^dealsdamageandstabilitydamage*,肉搏攻击依赖"驾驶"技能来命中. 攻击无视"闪避". 命中时消除"戒备"状态 造成伤害和失衡伤害.
meleeattacksdeal[amt]morestabilitydamage*,肉搏攻击多造成[AMT]失衡伤害.
meleeattacksdeal[amt]moredamage*,肉搏攻击多造成[AMT]伤害.
medmoraleboost,中量提升士气
medtechloss*,损失医疗技师点数.
mediumtimeout,中场暂停
mediumsupport,中型支援
mediumstriker,中型攻击手
mediumreinforcedbuilding*,中型加固建筑.
mediumreinforcedbuilding,中型加固建筑
mediumrecon,中型侦察
mediumrange,中程
mediumpulselaser,中型脉冲激光
mediummilitarybuilding*,中型军用建筑.
mediummilitarybuilding,中型军用建筑
mediumlaser,中型激光
mediumfire,中型火力
mediumcorporatebuilding*,中型企业建筑.
mediumcorporatebuilding,中型企业建筑
mediumcivilianbuilding*,中型民用建筑.
mediumcivilianbuilding,中型民用建筑
mediumcavalry,中型骑兵
mediumbuilding*,中型建筑.
mediumbuilding,中型建筑
mediumbattlemechsmountrespectableweaponrywithabove-averagespeedandvaryinglevelsofarmor*becausetheirconfigurationstendtowardgeneralism^mediummechsareoftenabletooccupyanumberofdifferentcombatroles*newlinenewlinewithaninitiativeof3^mediummechstakeactionnearthestartofaround*,中型战斗机甲装备了数量可观的武器 并拥有水准之上的速度和不同级别的装甲. 因为中型机甲的配置倾向于通用化 所以常常能担任许多不同的作战角色.\n\n由于中型机甲的主动权为3 它们在一个回合靠近开始的时候行动.
mediumbattle,中型战斗
okay*whatsthebadnews?,好吧. 坏消息是什么?
okay*wevejustgottafigurethisout*,好吧. 我们刚刚才弄清这事.
okay,好吧
ok,好的
ohyouhavegottobekiddingme*commander^uh^wevegotanothercontact*more{team_tar*factiondef*demonym}unitsonthefield*,哦这一定是在开玩笑吧. 指挥官 呃 我们发现了另一批接触. 更多{TEAM_TAR.FactionDef.Demonym}单位出现在了战场.
oh^no*no^noooweretoolate,噢 不. 不 不\u2026我们来得太迟了\u2026
oh^andremembertheyregoingtocallforreinforcements*,哦 注意他们会呼叫援军.
oh^andremembertherewilllikelybereinforcements^commander*,哦 记住那里可能会有援军 指挥官.
oh^andcommander?dontbringmeanysouvenirs^okay?oliveiraout*,噢 还有指挥官? 请别给我带什么纪念品 好嘛? 奥利维拉完毕.
oh?ah^yes*welldone^commander*iameagertoreportoursuccesstotheduchess;imsureshewillbeextremelygrateful*,哦? 啊 是的. 做得不错 指挥官. 我迫不及待地想向公爵夫人汇报我们的成功了; 我保证她会非常高兴的.
ofthatihavenodoubt*,对此我毫不怀疑.
offlinemode,离线模式
officertrainingschool,军官训练学校
officertraining,军官训练
officer,军官
offertomakespaceinthebarracks*,在营房中腾出空间.
offerashouldertocryon*,雪中送炭.
off,关闭
odetothexo,给执行官的颂歌
occupythisregion,占领这一地区
occupythewarehouses,占领仓库
occupytheresearchstation,占领研究站
occupytheoutpost,占领哨所
occupythemilitaryoutpost,占领军用哨所
occupythefortress,占领要塞
occupythefactory,占领工厂
occupythefacility,占领设施
occupythedepot,占领兵站
occupythebioweaponstoragesite,占领生物武器储存场
occupythebase,占领基地
occupythe{team_tar*factiondef*demonym}base,占领{TEAM_TAR.FactionDef.Demonym}基地
obviously^ourfriendswouldprefertosalvagethelostechthemselves^requiringustoclearoutanydefendingforces*thus^theyrepayingmoreifweclearoutthedefenders*,显然 我们的朋友宁愿自己去回收失落技术 需要我们清除所有守军. 因此 如果我们清除了守军 他们就会付更多的钱给我们.
obstructed,阻塞
observer,观察员
objectivezone,目标区域
objectivesecured*,目标已拿到.
objectivecomplete*yourecleartomoveon*,目标完成. 你可以继续进行下一步了.
nowtheentirecrewisdrunk,现在所有船员都喝醉了
nowcomeforme^victoriayourteacheriswaiting*comeandshowmewhatyouvelearned*,现在来吧 维多利亚\u2026你的老师等着你呢. 来让我看看你到底学了些什么.
commander,指挥官
novolunteers,没有志愿者
notready,没有准备好
nothingyousayordocanmakethisright*theonlyrestitutioniwillacceptisyourdeath*andso^ladyarano^iamcomingforyou*praythatyourunclessoldiersreachyoubeforeido*,你说了什么 做了什么都不会让这事变得合理. 我唯一接受的赔偿就是你的死亡. 因此 阿拉诺女士 我会来找你的. 祈祷你叔叔的士兵会先于我找到你吧.
nothinghappens^moraleloss,无事发生 士气受损
nothinghappens^moraleboost,无事发生 士气提升
nothinghappens*,无事发生.
nothinghappens,无事发生
notbad^cousinbutimnotfinishedwithyouyet*,不坏嘛 表姐\u2026可我跟你还没完呢.
notagoodday*letspullout*,今天不是个好日子. 我们撤出来吧.
nosweat^ladyarano*justdontaskmetodoitagain*,小事一桩 阿拉诺女士. 只是别让我再飞越一次了.
nosurvivorsarefound,没找到幸存者
normal,普通
norewards,没有报酬
noresults,没有结果
noraresalvage,无稀有战利品
nopilotinfo,没有驾驶员的资料
nopilot*,没有驾驶员.
nope,不
nondiz,诺恩迪兹
nomoralepenalty,没有士气惩罚
nomechwarrior,没有机甲战士
nolanceselected,没有选择小队
noitemselected,没有选择物品
noinjury^xp^highmorale,没有受伤 经验 士气高昂
noinjuries,没有伤员
nohonoramongthieves^isuppose*,盗贼之间没有任何荣誉可言 我认为.
nogood^commander*standbyforextractionandwellgetyououtofthere*,不好 指挥官. 等待撤离 我们会带你们离开那儿.
noanswer*commander^theydontseemtobebluffing*lookslikewellbefightingtwobattlesatonce*,没有回应. 指挥官 他们似乎不是虚张声势. 看来我们要一次面对两波敌人.
no^wearent*commander^headsup:youmayhaveadditionalhostilesheadedyourway*,不 不是. 指挥官 小心: 有另外的敌人正向你过来.
no!wehavetopushforward^tothedoorsouronlywayoutofthisisthrough*dr*muradwillfixthisbelieveit!,不! 我们必须前进 向门前进\u2014我们离开这儿的唯一办法就是穿过去. 穆拉德博士<i>会</i>修好的\u2014<i>相信</i>她!
no!wehavetoholdthisgrounduntilthosedoorsopenouronlywayoutofthisisthrough*dr*muradwillfixthisbelieveit!,不! 我们必须守住这里 直到那些大门打开\u2014我们离开这儿的唯一办法就是穿过去. 穆拉德博士<i>会</i>修好的\u2014<i>相信</i>她!
no!thismoonismine^youcant[0],不! 这个卫星是属于我的 你不能\u2014 [static] [scream] [static]
no!thismoonismine^youcant[1],不！这月亮是我的，你们不能\u2014[干扰声][尖叫][干扰声]
no!thismoonismine^youcant[2],没有！这个月亮是我的，你不能\u2014 [static] [尖叫] [static]
no!thismoonismine^youcant[3],不! 这月亮是我的 你们不能\u2014[干扰声][尖叫][干扰声]
no,不
niomede,尼奥米德
nicelydone^commander*lieutenantandris^yourapproachtotheturretcontrolcenterisclear*tellyourtechniciansthattheycanstartwhenready*,干得好 指挥官. 安德里斯中尉 你前往炮台控制中心的道路畅通无阻. 告诉你的技术人员准备好就可以启程了.
nicelydone^commander*lieutenantandris^yourapproachtothesecurityhqisclear*newline,干得好 指挥官. 安德里斯中尉 你们前往安保指挥部的道路通畅了.\n
nicejob^kidonefewerhostileontheboard!,干得好 孩子\u2014记分板上又少了一个敌人!
nice^clean^andquiet*perfect*goodwork^commander*,美妙 干净 同时还隐秘. 完美. 干得漂亮 指挥官.
nextmonthsbudget,下月预算
nextmeleetarget,下一个肉搏目标
next,下一个
newroland,新罗兰
newlinenewlinechangecourse?,\n\n改变航线?
newflashpointaddedin{0}system,新的闪点任务添加到了{0}星系
newavalon,新阿瓦隆
newabilene,新阿比林
nevermind^yang*,别介意 杨.
networksettings,网络设置
networkerror,网络错误
negative,拒绝
navigator,领航员
navigationmap,导航图
navigation,导航室
navalcaptain,海军舰长
naryn,纳伦
nameyourbattlemech,为你的战斗机甲命名
name,名字
mutinous,暴动
music,音乐
murris,穆里斯
multiplayer,多人游戏
multifire,多重射击
mrbratingtoolow,佣兵评委会评级太低
mpulse++,中型脉冲激光 + +
mpulse+,中型脉冲激光 +
mpulse,中型脉冲激光
moveyourmousetotheindicatedpoint*clickoncetoselectwhereyouwishtomove*clickagaintochoosewhichdirectiontoface*,将你的鼠标移到指示点. 点击一次选择你想前往的地点. 再次点击选择朝向.
moveyourmechtothemarkedlocation,将你的机甲移动到标记的位置
moveuptothisareaandmakecontact^andthenengageanddestroythem*,前进到这一地区进行接触 然后与之交战并消灭他们.
moveuptosecurethevehiclesandletsgetthemmoving*,行动起来并确保车辆安全 然后带他们转移.
moveuptogeteyesonthetargetandanyescorthemighthave*,行动起来瞧瞧目标以及他可能拥有的护卫.
moveuptoengagethetargetbuildings*lookslikethebasehasitsowndefenses*,行动起来向目标建筑物开火. 看来这座基地有自己的防御力量.
moveuptoapositionwhereyoucangeteyesonthebase^andletsseewhatsinthere*,前进到能看到敌人基地的位置 让我们看一下那儿有些什么.
moveuptoagoodvantagepoint^andletsfindoutwhatweredealingwith*,前进到一个有利观察的地点 让我们看看自己在应付什么东西.
moveupsothatwecanseewhatkindoffirepowerwereupagainst*,行动起来 这样我们就能看到要对付的是何种火力.
moveupandtrytoflushitout;letsseewhatsortoftrapthisis*,行动起来尝试让敌人暴露出来; 让我们看看这是何种圈套.
moveupandmakecontact;letsseewhatweredealingwith*,行动起来进行接触; 让我们看看自己在应付什么.
moveupandmakecontact;letsseewhatsortoftrapthisis*,行动起来进行接触; 让我们看看这是何种圈套.
moveup^neutralizetheturrets^andlevelthatbase*,行动起来 消灭那些炮台 同时夷平那座基地.
moveup^makecontact^andwipethemout*,行动起来 进行接触 然后清除掉他们.
moveup^makecontact^andengagethetargets*,行动起来 进行接触 然后与目标交战.
moveup^geteyesonthefacility^andseewhatwerefacing*wecanmakeaplanfromthere*,行动起来 看一下这座设施 看看我们在面对什么. 我们可以在那儿制定计划.
moveunitsintothisregiontocaptureormaintaincontroloftherelatedobjective*,将单位移入这一区域 从而夺取相关目标或对其维持控制.
movetotheirpositionandprovidesupportasneeded*,前往他们的位置并提供所需的支援.
movetotheirpositionandprovidesupport*,前往他们的位置并提供支援. 
movetothefacilityandstartwreckingthebuildings*,前往设施并开始摧毁建筑物.
movetothebaseandstrartwreckingthebuildings*,前往基地并开始拆毁建筑物. 
movetothebaseandstartwreckingthebuildings*,前往基地并开始拆毁建筑物.
movetothebaseandstartknockingdownthosebuildings*,前往基地并开始拆掉那些建筑物.
movement,移动
moveintopositiontosurveytheoutpost^andletsfigureoutwhatweredealingwithhere*,前往目标地点来调查哨所 让我们弄清自己在这儿和什么打交道.
moveintopositiontointercepttheshipment*,就位拦截运输队.
movein^engagethebasedefenses^andstartthedemolition*,行动 和基地的防御力量交火 然后开始拆毁基地.
moveintothewater,移动到水中
moveforwarduntilyoumakecontact^andclearthemout*,前进直到你与敌人接触 然后消灭他们.
moveforwardandclearthemout*,前进并清除他们.
moveforward^acquireatargetlanceandlightthemup*,前进 找到目标小队并消灭他们.
mousebutton3,鼠标按键3
mousebutton2,鼠标按键2
mousebutton1,鼠标按键1
moremoney,更多的钱
morehostilesincoming!keeptheirfocusonyouandawayfromthosedropships!,更多的敌人来袭! 请把他们的注意力从那些空投艇转移到你身上!
morecontactsonthesensors^commander*theyremovingtointercepttheescapinghostages*,感应器上出现更多接触 指挥官. 他们正前去拦截逃跑的人质.
morecontactsonthesensors^commander*looksliketheyresendinginunitstohuntanddestroytheconvoy*,感应器上出现了更多接触 指挥官. 看来他们派遣了部队来猎杀这支车队.
morecontactsonthesensors^commander*looksliketheyresendinginunitstohuntanddestroyouremployerspeople*,感应器上出现更多接触 指挥官. 看来他们派出部队来猎杀我们雇主的人.
morecontactsonthesensors^commander*looksliketheyresendinginreinforcements*,感应器上出现更多接触 指挥官. 看来他们派出了援军.
morecontactsonthesensors^commander*looksliketheyresendinginadditionalunitstodestroytheconvoy*,感应器上出现了更多接触 指挥官. 看来他们派遣了另外的部队来消灭车队.
morecontactsonthesensors^commander*lookslike{team_tar*factiondef*name}issendinginadditionalunits^boundforyourposition*,感应器上出现了更多接触 指挥官. 看来{TEAM_TAR.FactionDef.Name}派遣了另外的部队 正在接近你的位置.
morecontactsonthesensors^commander*lookslike{team_tar*factiondef*name}*really*doesntwantthesecolonistsmakingitoutofhere*,感应器上出现更多接触 指挥官. 看来{TEAM_TAR.FactionDef.Name}*真的*不想让这些殖民者离开这里.
morecontactsonthesensors^commander*iguess{team_tar*factiondef*name}isnthappywiththeirpeoplechangingjobs?,感应器上出现更多接触 指挥官. 我猜{TEAM_TAR.FactionDef.Name}很不高兴看到他们的人换工作?
morecontactsonthesensors^commander*hardtosaywhichsidetheyreoninthiswar^buttheyreboundforyourposition*assumetheworst*,感应器上出现更多接触 指挥官. 很难说他们在这场战争中站在哪一方 但他们正在靠近你的位置. 请做好最坏的打算.
morecontactsonthesensors^commander!lookslikea{team_tar*factiondef*demonym}assaultteam-stopthembeforetheycandestroytheconvoy!,感应器上出现了更多接触 指挥官! 看来是{TEAM_TAR.FactionDef.Demonym}的突击小队--赶在他们消灭车队前阻止他们!
morecontacts^commander*thesefolksareshootingtokill*whothehellisonthesetransports^anyway?,更多接触 指挥官. 这些家伙可以格杀勿论. 反正 在这些运输车里的到底是什么人?
morecontacts^commander*thesefolksareshootingtokill*theyreallydontwantourfriendsgettingtheirpeopleback*,更多接触 指挥官. 这些家伙可以格杀勿论. 他们<i>真的</i>不想让我们的朋友夺回他们的人.
moraleup,士气上升
moraletoolow,士气太低
moralelossandlowspirits,士气受损同时情绪低落
moraleloss^mechbayskillloss,士气受损 机甲库技能降低
moraleloss,士气受损
moralegenerationincreased,士气的产生值提升
moralegeneration,士气产生
moralegain^medandmechlosses,增加士气 医疗和技师点数受损
moraleboostandmoney,士气提升同时获得金钱
moraleboost*,士气提升.
moraleboost,士气提升
morale-1andlowmoraleandcbills,士气-1同时士气和星币都低
morale&mechtechboost,士气和技师点数提升
months,月
month,月
montgomery,蒙哥马利
monitor{scn_mw*obj}andfire{scn_mw*obj}ifitstrue*,监控{SCN_MW.Obj} 如果是真的就解雇{SCN_MW.Obj}.
monitor,监控
money&reploss,金钱和声望减少
money,金钱
moderateprofits,中等收益
moderatemoraleboost,中量提升士气
moderateboostinmedtech,医疗技师点数中等幅度提高
moderateboostinmechtech,机甲技师点数中等提升
model1,型号1
model,型号
mlaser+++,中型激光 + + +
mlaser++,中型激光 + +
mlaser+,中型激光 +
mlaser,中型激光
missionaccomplished*the{team_tar*factiondef*demonym}propagandistisdead*,任务完成. {TEAM_TAR.FactionDef.Demonym}宣传员死了.
missing,失踪 
missileweaponhitchanceimproved,导弹武器命中率提升
missileweaponattackshavetheirhitimprovedby[amt]*,导弹武器射击时命中会提升[AMT].
missiletargeting,导弹武器瞄准
action:thisunitwillremove50extraheatthisround*forthenextthreerounds^thisunitwillgainanextra8heat*thereisa4roundcooldown*,主动: 该单位将在本回合中多去除50点热量. 在接下来的三回合中 该单位将多获得8点热量. 该技能有4回合冷却时间.
action:selectatargetwithinsensorrangetorevealituntiltheendofthecurrentroundandremovetwoofitsevasivecharges*thetargetalsogains+2sensorsimpairedeffect*,主动: 选择一个感应器范围内的目标使其显形 直到本回合结束 同时减少其2闪避. 目标同时获得+2"感应器受损"效果.
action:performasensorlockonallenemieswithin[floatparam1]meters^andgenerates[floatparam2]heatfortheuser*thereisa[activationcooldown]roundcooldown*,主动: 对[FloatParam1]米内的所有敌人执行感应器锁定 产生[FloatParam2]点热量. 这个技能有[ActivationCooldown]回合冷却时间.
action:fireweaponsatuptothreeseparatetargetswithinthismechscurrentfiringarc*,主动: 在机甲当前射界内 向最多3个不同的目标开火.
achildhoodspentinthefederatedsunsis^forthosebornintomiddle-classfamilies^asolidfoundationforlife*,在恒星联邦度过的童年对于那些出生于中产阶级家庭的人来说 是人生坚实的基础.
accuracy,精度
accidentshappen,发生意外
accessprivileges,访问权限
acceptthestatusquo*,接受现状.
acceptthejob*,接受这活.
accept,接受
foreachpointofmorale^yougain500points*thisvalueisthenmultipliedbythescoremodifier*,对于每一点士气 你会获得500分. 然后这一分数再乘以分数修正因子.
foreachpointofmercenaryreviewboardreputation^yougain45points*thisvalueisthenmultipliedbythescoremodifier*,对于每一点佣兵评委会声望 你会获得45分. 然后这一分数再乘以分数修正因子.
foreachfactionwithwhomyourreputationisatthemaximumorminimumvalue^yougainabonusof10^000points*thisvalueisthenmultipliedbythescoremodifier*,对于每个与你的声望达到最大值或最小值的派系 你会获得10000奖励分. 然后这一分数再乘以分数修正因子.
foreachcontractcompletion^yougain50pointsperpointofdifficultyofthecontract*thisvalueisthenmultipliedbythescoremodifier*,对于每个已完成的合约 每一级合约难度你会获得50分. 然后这一分数再乘以分数修正因子.
foreachcompletedargoupgrade^yougain2000points*thisvalueisthenmultipliedbythescoremodifier*,对于每项已完成的阿尔戈号升级项目 你会获得2000分. 然后这一分数再乘以分数修正因子.
foreachactivealliance^yougain7500points*thisvalueisthenmultipliedbythescoremodifier*,对于每个生效的同盟 你会获得7500分. 然后这一分数再乘以分数修正因子.
foreach100pointsofexperienceearnedbyapilotcurrentlyinyourbarracks^yougain2points*thisvalueisthenmultipliedbythescoremodifier*yourcommanderdoesnotliveinthebarracks^anddoesnotcounttowardsthisscore*,在你营房里的每个驾驶员每获得100点经验值 你会获得2分. 然后这一分数再乘以分数修正因子. 你的指挥官并不住在营房 不会计入这一分数.
foreach10^000c-billsearnedoveryourentirecareer^yougain1point*thisvalueisthenmultipliedbythescoremodifier*,在你的整个职业生涯中 每挣到10000星币 你会获得1分. 然后这一分数再乘以分数修正因子.
forcompletingeveryargoupgrade^yougainabonusof25^000points*thisvalueisthenmultipliedbythescoremodifier*,每完成一次阿尔戈号的升级 你会获得25000奖励分. 然后这一分数再乘以分数修正因子.
forcollectingoneofeachuniquechassisinthegame^yougainabonusof25^000points*thisvalueisthenmultipliedbythescoremodifier*thisdoesnotincludechassisintroducedinexpansioncontent*,游戏中每收集到一种独特的机体时 你会获得25000奖励分. 然后这一分数再乘以分数修正因子. 这里不包括扩展包中引入的机体.
flakjackalsco,高炮胡狼指挥官
finalpilotstrengthistotalstrength({0})/battlesimpilotpowerdenom({1})=({2})(rounded),最终驾驶能力是一个总能力({0}) / BattleSimPilotPowerDenom ({1}) = ({2}) (Rounded)
youworkforpay^doyounot?housekuritahasplentyofmoneyforyou^mercenary*simplybequickandefficientaboutitwehavelittletimeforyourkind*,你为钱工作 不是么? 栗田家会给你足够的钱 佣兵. 只要能快速高效地完成任务\u2014我们留给你这种人的时间可没多少.
youwonthaveto*restorationstriketeamshavealreadyjoinedforceswiththe2nddecimisfusilierstoengagetheenemyonmultiplefronts*wehavethematadisadvantage^butiftheymanagetobringinreinforcements^wereintrouble*,不会的. 光复运动打击小队已经加入了第2德希米斯燧发枪团 在多处前线和敌人交火了. 我们令他们处于了下风 但要是他们能带来援军 那我们就有麻烦了.
2ndst*iveslancers,第2圣艾夫斯枪骑兵团
2nddecimisfusiliers,第2德希米斯燧发枪团
zanzibarwasoriginallysettledbythetaurianconcordat^butwasabsorbedduringaliaoexpansioncenturiesago*ithasastrongblackmarketwherealmostanythingcanbetraded*,桑给巴尔最初是由金牛协约国建立的 但几个世纪前在廖氏的扩张过程中被吞并. 这里有着强大的黑市 几乎能交易任何东西.
zanzibar,桑给巴尔
becarefulofthosethingstheyrearmedtotheteethandcominginfast*andthereareprobablymorewheretheycamefrom,小心那些东西\u2014它们武装到了牙齿 来得很快. 在它们来的地方可能还有更多\u2026 
onceweknowwhatwereupagainst^moveinandtakethefactory^commander*oliveiraout*,一旦我们知道要面临什么 就开始行动并占领工厂 指挥官. 奥利维拉完毕.
onceweknowwhatweredealingwith^wecanmoveinandoccupythedepot*,一旦我们知道自己在和什么东西打交道 我们就可以行动起来占领兵站.
oncewehaveabetterpictureofthesituation^eliminateanydefendingforcesandmoveintothebase*,一旦我们更好地了解局面后 消灭任何防卫部队并进入基地.
oncethispilothastaken{0}injuries^theywillbeincapacitated,一旦这名驾驶员承受{0}点伤势 他们就会失能
oncetheyresafelyaway^youcancleanuptheoppositionorevacyourself;itsyourcall*oliveiraout*,一旦他们安全离开 你就可以清掉敌人或者自行撤离; 你决定吧. 奥利维拉完毕.
oncetheyredealtwith^headtotheevaczoneforpickup^orclearouttheconvoysguards*yourcall*,一旦解决掉他们 就前往撤离区接受接应 或者清掉车队警卫. 你决定吧.
oncetheshipmentisdestroyed^headtotheevaczone*oliveiraout*,一旦运输队被摧毁 就前往撤离区域. 奥利维拉完毕.
oncethetargetsaredown^wellrendezvouswiththeleopardattheextractionpoint*,一旦目标完蛋了 我们就前往撤离点和豹式空投艇会合.
oncethetargetsaredestroyed^headfortheevaczone*ouremployerwillhandleanyradioactivematerialleftbehind*,一旦目标被摧毁了 就前往撤离区域. 我们的雇主会处理遗留的放射性材料.
oncethetargetisdown^headfortheextractionpointforapickup*,一旦目标完蛋了 就前往撤离点接受接应.
oncetheprimarytargetisdown^wellneedtogetourfriendstotheirownevaczonesbeforeleavingourselves*,一旦首要目标完蛋了 我们就得在撤离之前送我们的朋友去他们自己的撤离区.
oncetheconvoysdestroyed^headfortheevacpoint^orstickaroundtomopuptheescorts*,一旦消灭了车队 就前往撤离点 或者逗留一下扫除护卫.
oncethatsdone^wellmoveinandcapturethebase*goodluck^commander*,一旦完成 我们就会开始行动并夺取基地. 祝你好运 指挥官.
onceshesaboard^headtothemarkedevaczone^wheresumirewillpickyouupintheleopard*,她要是上来了 就前往标记好的撤离区域 纯丽会开着豹式来接你.
onceouroperationiscomplete^wellmovetoourevaclzandwaitforextractionwhileyoucoverus*,一旦我们的行动完成 我们就会前往撤离用着陆区 在你的掩护下等待撤离.
onceitssecure^gettheroguescientistintooneofyourmechs^andheadforthemarkedevaczone*,一旦安全了 就让恶棍科学家登上一台你的机甲 然后前往标记好的撤离区域.
oncehesdown^headtotheevacpointforyourpickup*,一旦他完蛋了 就前往撤离点接受接应.
on,打开
omicron,奥米克戎
ombra,影子
olympus,奥林巴斯
okay^thisdistanceshouldbegood*holdonjustasecond^aaand,很好 这个距离应该很好. 保持一小会儿 然后\u2026
returntoyouremployersplatform,返回你雇主的平台
